Datetime,MWh_N,MWh_NE,MWh_S,MWh_SE
2023-07-17 00:00:00,7314.194,11274.94,8175.447,32708.044
2023-07-17 01:00:00,7204.409,10911.451,7725.107,31079.886
2023-07-17 02:00:00,7083.264,10716.896,7537.658,30308.909
2023-07-17 03:00:00,6977.308,10618.46,7533.719,29901.568
2023-07-17 04:00:00,6860.714,10650.843,7725.966,30160.105
2023-07-17 05:00:00,6775.94,10579.478,8407.056,31682.587
2023-07-17 06:00:00,6565.34,10469.776,9872.486,34065.318
2023-07-17 07:00:00,6563.215,11065.594,11490.603,36989.729
2023-07-17 08:00:00,7052.774,11958.82,12796.356,39711.663
2023-07-17 09:00:00,7287.521,12479.888,13244.236,41045.248
2023-07-17 10:00:00,7352.615,12702.651,13684.528,42197.98
2023-07-17 11:00:00,7466.811,12702.787,13727.79,42264.917
2023-07-17 12:00:00,7448.946,12309.557,12599.018,42112.274
2023-07-17 13:00:00,7708.114,12411.51,13006.1,42964.384
2023-07-17 14:00:00,7950.589,12656.427,13260.12,43743.551
2023-07-17 15:00:00,7956.424,12748.555,13462.128,44172.291
2023-07-17 16:00:00,7779.976,12521.081,13757.681,44571.119
2023-07-17 17:00:00,7448.268,12217.647,14256.615,44745.959
2023-07-17 18:00:00,7204.697,12454.428,15121.258,47269.745
2023-07-17 19:00:00,7367.009,12385.114,14870.613,46713.364
2023-07-17 20:00:00,7494.801,12388.672,14189.266,45673.975
2023-07-17 21:00:00,7713.697,12897.316,13440.545,44370.406
2023-07-17 22:00:00,7876.072,12870.653,12298.928,42040.419
2023-07-17 23:00:00,7910.005,12384.769,10807.718,38839.76
